Country,Title,Completed,Reservoir capacity (million m3),Irrigation,Water supply,Flood control,Hydroelectricity (MW),Used For,Latitude,Longitude
Uganda,Bygoe,Incomplete,,,,,x,   Hydroelectricity (MW),"0.309","30.0981"
Uganda,Ayago North,Incomplete,,,,,x,   Hydroelectricity (MW),"1.8167","32.4667"
United Republic of Tanzania,Owen Falls,"1954","100000",x,,,x,"Irrigation,  Hydroelectricity (MW)","0.4458","33.1875"
United Republic of Tanzania,Hale Tanesco,"1964","1.9",,,,x,   Hydroelectricity (MW),"-5.2833","38.6"
United Republic of Tanzania,Nyumba Ya Mungu,"1966","870",x,,,x,"Irrigation,  Hydroelectricity (MW)","-3.61","37.4581"
United Republic of Tanzania,Kidatu,"1975","125",,,,x,   Hydroelectricity (MW),"-7.6375","36.9139"
United Republic of Tanzania,Mtera,"1980","3200",,,,x,   Hydroelectricity (MW),"-7.1367","35.9875"
United Republic of Tanzania,Pangani Falls II,"1994","0.8",,,,x,   Hydroelectricity (MW),"-5.35","38.65"
United Republic of Tanzania,Rumakali,Incomplete,,,,,x,   Hydroelectricity (MW),"-9.3333","33.9167"
United Republic of Tanzania,Ruhudji,Incomplete,,,,,x,   Hydroelectricity (MW),"-9.53","35.23"
United Republic of Tanzania,Kagera River,Incomplete,,,,,x,   Hydroelectricity (MW),"-1.1936","31.0954"
United Republic of Tanzania,Upper Kihansi,Incomplete,,,,,x,   Hydroelectricity (MW),"-8.4","36.35"
United Republic of Tanzania,Stiegler Gorge III,Incomplete,,,,,x,   Hydroelectricity (MW),"-7.8","37.8667"
United Republic of Tanzania,Stiegler Gorge II,Incomplete,,,,,x,   Hydroelectricity (MW),"-7.8","37.8667"
United Republic of Tanzania,Stiegler Gorge I,Incomplete,,,,,x,   Hydroelectricity (MW),"-7.8","37.8667"
United Republic of Tanzania,Songwe,Incomplete,,,,,x,   Hydroelectricity (MW),"-9.7032","33.9199"
United Republic of Tanzania,Rusumo Falls,Incomplete,,,,,x,   Hydroelectricity (MW),"-2.3753","30.7853"
United Republic of Tanzania,Mpanga,Incomplete,,,,,x,   Hydroelectricity (MW),"-7.7945","37.9739"
United Republic of Tanzania,Masigira,Incomplete,,,,,x,   Hydroelectricity (MW),"-9.8444","35.1729"
United Republic of Tanzania,Mandera,Incomplete,,,,,x,   Hydroelectricity (MW),"-5.5","38.1833"
